"id","ts","lat","lon","temperature","humidity","co"
"1","2025-03-26 15:14:07","13.8212","100.615","33","65","0.0354374"
"2","2025-03-26 15:27:32","13.8212","100.615","33","66","0.0354374"
"3","2025-03-26 15:57:32","13.8212","100.615","34","62","0.0354374"
"4","2025-03-26 16:27:32","13.8212","100.615","34","61","0.0354374"
"5","2025-03-26 16:57:32","13.8212","100.615","34","62","0.0354374"
"6","2025-03-26 17:27:33","13.8212","100.615","34","63","0.0354374"
"7","2025-03-26 17:57:33","13.8212","100.615","34","61","0.0354374"
"8","2025-03-26 18:27:33","13.8212","100.615","34","62","0.0354374"
"9","2025-03-26 18:57:34","13.8212","100.615","33","64","0.0354374"
"10","2025-03-26 19:27:34","13.8212","100.615","33","68","0.0354374"
"11","2025-03-26 19:57:34","13.8212","100.615","33","70","0.0354374"
"12","2025-03-26 20:27:35","13.8212","100.615","32","73","0.0354374"
"13","2025-03-26 20:57:35","13.8212","100.615","32","74","0.0354374"
"14","2025-03-26 21:27:35","13.8212","100.615","32","75","0.0354374"
"15","2025-03-26 21:57:36","13.8212","100.615","32","75","0.0354374"
"16","2025-03-26 22:27:36","13.8212","100.615","32","75","0.0354374"
"17","2025-03-26 22:57:36","13.8212","100.615","31","76","0.0354374"
"18","2025-03-26 23:27:36","13.8212","100.615","31","77","0.0354374"
"19","2025-03-26 23:57:37","13.8212","100.615","31","77","0.0354374"
"20","2025-03-27 00:27:37","13.8212","100.615","31","79","0.0354374"
"21","2025-03-27 00:57:37","13.8212","100.615","31","79","0.0354374"
"22","2025-03-27 01:27:38","13.8212","100.615","31","79","0.0354374"
"23","2025-03-27 01:57:38","13.8212","100.615","31","79","0.0354374"
"24","2025-03-27 02:27:38","13.8212","100.615","31","79","0.0354374"
"25","2025-03-27 02:57:39","13.8212","100.615","31","79","0.0354374"
"26","2025-03-27 03:27:39","13.8212","100.615","31","80","0.0354374"
"27","2025-03-27 03:57:39","13.8212","100.615","31","80","0.0354374"
"28","2025-03-27 04:27:40","13.8212","100.615","31","81","0.0354374"
"29","2025-03-27 04:57:40","13.8212","100.615","31","80","0.0354374"
"30","2025-03-27 05:27:40","13.8212","100.615","31","81","0.0354374"
"31","2025-03-27 05:57:40","13.8212","100.615","31","81","0.0354374"
"32","2025-03-27 06:27:41","13.8212","100.615","31","81","0.0354374"
"33","2025-03-27 06:57:41","13.8212","100.615","31","82","0.0354374"
"34","2025-03-27 07:27:41","13.8212","100.615","31","82","0.0354374"
"35","2025-03-27 07:57:42","13.8212","100.615","31","81","0.0354374"
"36","2025-03-27 08:27:42","13.8212","100.615","31","81","0.0354374"
"37","2025-03-27 08:57:42","13.8212","100.615","31","81","0.0354374"
"38","2025-03-27 09:27:43","13.8212","100.615","31","78","0.0354374"
"39","2025-03-27 09:57:43","13.8212","100.615","32","76","0.0354374"
"40","2025-03-27 10:27:43","13.8212","100.615","32","75","0.0354374"
"41","2025-03-27 10:57:43","13.8212","100.615","33","72","0.0354374"
"42","2025-03-27 11:27:44","13.8212","100.615","34","68","0.0354374"
"43","2025-03-27 11:57:44","13.8212","100.615","34","66","0.0354374"
"44","2025-03-27 12:27:44","13.8212","100.615","34","62","0.0354374"
"45","2025-03-27 12:57:45","13.8212","100.615","35","59","0.0354374"
"46","2025-03-27 13:27:45","13.8212","100.615","36","58","0.0354374"
"47","2025-03-27 13:57:45","13.8212","100.615","36","55","0.0354374"
"48","2025-03-27 14:27:45","13.8212","100.615","37","55","0.0354374"
"49","2025-03-27 14:57:46","13.8212","100.615","36","54","0.0354374"
"50","2025-03-27 15:27:46","13.8212","100.615","36","53","0.0354374"
"51","2025-03-27 15:57:46","13.8212","100.615","36","53","0.0354374"
"52","2025-03-27 16:27:47","13.8212","100.615","36","53","0.0354374"
"53","2025-03-27 16:57:47","13.8212","100.615","35","51","0.0354374"
"54","2025-03-27 17:27:47","13.8212","100.615","35","49","0.0354374"
"55","2025-03-27 17:57:48","13.8212","100.615","35","52","0.0354374"
"56","2025-03-27 18:27:48","13.8212","100.615","34","50","0.0354374"
"57","2025-03-27 18:57:48","13.8212","100.615","34","49","0.0354374"
"58","2025-03-27 19:27:49","13.8212","100.615","33","49","0.0354374"
"59","2025-03-27 19:57:49","13.8212","100.615","33","54","0.0354374"
"60","2025-03-27 20:27:49","13.8212","100.615","33","57","0.0354374"
"61","2025-03-27 20:57:49","13.8212","100.615","33","63","0.0354374"
"62","2025-03-27 21:27:50","13.8212","100.615","33","68","0.0354374"
"63","2025-03-27 21:57:50","13.8212","100.615","32","70","0.0354374"
"64","2025-03-27 22:27:50","13.8212","100.615","32","70","0.0354374"
"65","2025-03-27 22:57:51","13.8212","100.615","32","69","0.0354374"
"66","2025-03-27 23:27:51","13.8212","100.615","32","68","0.0354374"
"67","2025-03-27 23:57:51","13.8212","100.615","32","69","0.0354374"
"68","2025-03-28 00:27:52","13.8212","100.615","32","71","0.0354374"
"69","2025-03-28 00:57:52","13.8212","100.615","32","71","0.0354374"
"70","2025-03-28 01:27:52","13.8212","100.615","31","71","0.0354374"
"71","2025-03-28 18:35:36","13.8212","100.615","33","40","0.0354374"
"72","2025-03-28 19:05:36","13.8212","100.615","33","40","0.0354374"
"73","2025-03-28 19:35:37","13.8212","100.615","34","39","0.0354374"
"74","2025-03-28 20:05:37","13.8212","100.615","34","39","0.0354374"
"75","2025-03-28 20:35:37","13.8212","100.615","34","42","0.0354374"
"76","2025-03-28 21:05:38","13.8212","100.615","34","45","0.0354374"
"77","2025-03-28 21:35:38","13.8212","100.615","33","48","0.0354374"
"78","2025-03-28 22:05:38","13.8212","100.615","33","52","0.0354374"
"79","2025-03-28 22:35:39","13.8212","100.615","33","59","0.0354374"
"80","2025-03-28 23:05:39","13.8212","100.615","33","62","0.0354374"
"81","2025-03-28 23:35:39","13.8212","100.615","32","64","0.0354374"
"82","2025-03-29 00:05:40","13.8212","100.615","32","64","0.0354374"
"83","2025-03-29 00:35:40","13.8212","100.615","32","65","0.0354374"
"84","2025-03-29 01:05:40","13.8212","100.615","32","67","0.0354374"
"85","2025-03-29 01:35:41","13.8212","100.615","32","68","0.0354374"
"86","2025-03-29 02:05:41","13.8212","100.615","32","70","0.0354374"
"87","2025-03-29 02:35:41","13.8212","100.615","32","72","0.0354374"
"88","2025-03-29 03:05:41","13.8212","100.615","32","71","0.0354374"
"89","2025-03-29 03:35:42","13.8212","100.615","31","71","0.0354374"
"90","2025-03-29 04:05:42","13.8212","100.615","31","73","0.0354374"
"91","2025-03-29 04:35:42","13.8212","100.615","31","74","0.0354374"
"92","2025-03-29 05:05:43","13.8212","100.615","31","75","0.0354374"
"93","2025-03-29 05:35:43","13.8212","100.615","31","75","0.0354374"
"94","2025-03-29 06:05:43","13.8212","100.615","31","74","0.0354374"
"95","2025-03-29 06:35:44","13.8212","100.615","31","74","0.0354374"
"96","2025-03-29 07:05:44","13.8212","100.615","31","74","0.0354374"
"97","2025-03-29 07:35:44","13.8212","100.615","31","74","0.0354374"
"98","2025-03-29 08:05:44","13.8212","100.615","31","75","0.0354374"
"99","2025-03-29 08:35:45","13.8212","100.615","32","74","0.0354374"
"100","2025-03-29 09:05:45","13.8212","100.615","32","75","0.0354374"
"101","2025-03-29 09:35:45","13.8212","100.615","32","73","0.0354374"
"102","2025-03-29 10:05:46","13.8212","100.615","33","71","0.0354374"
"103","2025-03-29 10:35:46","13.8212","100.615","33","70","0.0354374"
"104","2025-03-29 11:05:46","13.8212","100.615","33","68","0.0354374"
"105","2025-03-29 11:35:46","13.8212","100.615","33","65","0.0354374"
"106","2025-03-29 12:05:47","13.8212","100.615","34","62","0.0354374"
"107","2025-03-29 12:35:47","13.8212","100.615","35","58","0.0354374"
"108","2025-03-29 13:05:47","13.8212","100.615","35","54","0.0354374"
"109","2025-03-29 13:35:48","13.8212","100.615","36","53","0.0354374"
"110","2025-03-29 14:05:48","13.8212","100.615","36","54","0.0354374"
"111","2025-03-29 14:35:48","13.8212","100.615","36","52","0.0354374"
"112","2025-03-29 15:05:49","13.8212","100.615","36","51","0.0354374"
"113","2025-03-29 15:35:49","13.8212","100.615","36","48","0.0354374"
"114","2025-03-29 16:05:49","13.8212","100.615","36","46","0.0354374"
"115","2025-03-29 16:35:49","13.8212","100.615","36","47","0.0354374"
"116","2025-03-29 17:05:50","13.8212","100.615","36","49","0.0354374"
"117","2025-03-29 17:35:50","13.8212","100.615","35","51","0.0354374"
"118","2025-03-29 18:05:50","13.8212","100.615","35","54","0.0354374"
"119","2025-03-29 18:35:51","13.8212","100.615","34","55","0.0354374"
"120","2025-03-29 19:05:51","13.8212","100.615","34","57","0.0354374"
"121","2025-03-29 19:35:51","13.8212","100.615","33","57","0.0354374"
"122","2025-03-29 20:05:52","13.8212","100.615","33","59","0.0354374"
"123","2025-03-29 20:35:52","13.8212","100.615","33","61","0.0354374"
"124","2025-03-29 21:05:52","13.8212","100.615","33","63","0.0354374"
"125","2025-03-29 21:35:53","13.8212","100.615","33","65","0.0354374"
"126","2025-03-29 22:05:53","13.8212","100.615","33","66","0.0354374"
"127","2025-03-29 22:35:53","13.8212","100.615","32","65","0.0354374"
"128","2025-03-29 23:05:54","13.8212","100.615","32","67","0.0354374"
"129","2025-03-29 23:35:54","13.8212","100.615","32","69","0.0354374"
"130","2025-03-30 00:05:54","13.8212","100.615","32","72","0.0354374"
"131","2025-03-30 00:35:54","13.8212","100.615","32","73","0.0354374"
"132","2025-03-30 01:05:55","13.8212","100.615","32","73","0.0354374"
"133","2025-03-30 01:35:55","13.8212","100.615","32","77","0.0354374"
"134","2025-03-30 02:05:56","13.8212","100.615","32","77","0.0354374"
"135","2025-03-30 02:35:56","13.8212","100.615","32","77","0.0354374"
"136","2025-03-30 03:05:56","13.8212","100.615","31","77","0.0354374"
"137","2025-03-30 03:35:56","13.8212","100.615","31","78","0.0354374"
"138","2025-03-30 04:05:56","13.8212","100.615","31","78","0.0354374"
"139","2025-03-30 04:35:57","13.8212","100.615","31","79","0.0354374"
"140","2025-03-30 05:05:57","13.8212","100.615","31","78","0.0354374"
"141","2025-03-30 05:35:57","13.8212","100.615","31","78","0.0354374"
"142","2025-03-30 06:05:58","13.8212","100.615","31","77","0.0354374"
"143","2025-03-30 06:35:58","13.8212","100.615","31","77","0.0354374"
"144","2025-04-02 18:58:36","13.8212","100.615","27","71","0"
"145","2025-04-02 19:01:11","13.8212","100.615","28","75","0"
"146","2025-04-02 19:31:12","13.8212","100.615","30","71","0"
"147","2025-04-02 20:01:12","13.8212","100.615","33","66","0"
"148","2025-04-02 20:31:12","13.8212","100.615","33","66","0"
"149","2025-04-02 21:01:13","13.8212","100.615","33","65","0"
"150","2025-04-02 21:31:13","13.8212","100.615","32","65","0"
"151","2025-04-02 22:01:13","13.8212","100.615","32","65","0"
"152","2025-04-02 22:31:14","13.8212","100.615","32","65","0"
"153","2025-04-02 23:01:14","13.8212","100.615","32","65","0"
"154","2025-04-02 23:31:14","13.8212","100.615","32","68","0"
"155","2025-04-03 00:01:15","13.8212","100.615","32","68","0"
"156","2025-04-03 00:31:15","13.8212","100.615","32","68","0"
"157","2025-04-03 01:01:15","13.8212","100.615","31","68","0"
"158","2025-04-03 01:31:15","13.8212","100.615","31","70","0"
"159","2025-04-03 02:01:16","13.8212","100.615","31","73","0"
"160","2025-04-03 02:31:16","13.8212","100.615","31","72","0"
"161","2025-04-03 03:02:20","13.8212","100.615","30","77","0"
"162","2025-04-03 03:32:20","13.8212","100.615","30","77","0"
"163","2025-04-03 04:02:21","13.8212","100.615","30","77","0"
"164","2025-04-03 04:32:21","13.8212","100.615","30","79","0"
"165","2025-04-03 05:02:21","13.8212","100.615","30","79","0"
"166","2025-04-03 05:32:21","13.8212","100.615","30","80","0"
"167","2025-04-03 06:02:22","13.8212","100.615","30","79","0"
"168","2025-04-03 06:32:22","13.8212","100.615","30","79","0"
"169","2025-04-03 07:02:22","13.8212","100.615","30","80","0"
"170","2025-04-03 07:32:23","13.8212","100.615","30","80","0"
"171","2025-04-03 08:02:23","13.8212","100.615","30","81","0"
"172","2025-04-03 08:32:23","13.8212","100.615","30","79","0"
"173","2025-04-03 09:02:24","13.8212","100.615","31","75","0"
"174","2025-04-03 09:32:25","13.8212","100.615","31","76","0"
"175","2025-04-03 10:02:25","13.8212","100.615","32","72","0"
"176","2025-04-03 10:32:25","13.8212","100.615","32","70","0"
"177","2025-04-03 11:02:26","13.8212","100.615","32","66","0"
"178","2025-04-03 11:32:26","13.8212","100.615","32","67","0"
"179","2025-04-03 12:02:26","13.8212","100.615","32","65","0"
"180","2025-04-03 12:32:27","13.8212","100.615","32","64","0"
"181","2025-04-03 13:02:27","13.8212","100.615","33","59","0"
"182","2025-04-03 13:32:27","13.8212","100.615","34","55","0"
"183","2025-04-03 14:02:28","13.8212","100.615","34","57","0"
"184","2025-04-03 14:32:28","13.8212","100.615","35","55","0"
"185","2025-04-03 15:02:28","13.8212","100.615","35","54","0"
"186","2025-04-03 15:32:29","13.8212","100.615","35","56","0"
"187","2025-04-03 16:02:29","13.8212","100.615","35","54","0"
"188","2025-04-03 16:32:29","13.8212","100.615","34","54","0"
"189","2025-04-03 17:02:30","13.8212","100.615","35","53","0"
"190","2025-04-03 17:32:30","13.8212","100.615","35","53","0"
"191","2025-04-03 18:02:30","13.8212","100.615","34","52","0"
"192","2025-04-03 18:32:31","13.8212","100.615","34","61","0"
"193","2025-04-03 19:02:31","13.8212","100.615","33","66","0"
"194","2025-04-03 19:32:31","13.8212","100.615","33","69","0"
"195","2025-04-03 20:02:31","13.8212","100.615","33","70","0"
"196","2025-04-03 20:32:32","13.8212","100.615","33","68","0"
"197","2025-04-03 21:02:32","13.8212","100.615","32","70","0"
"198","2025-04-03 21:32:32","13.8212","100.615","32","70","0"
"199","2025-04-03 22:02:33","13.8212","100.615","32","70","0"
"200","2025-04-03 22:32:33","13.8212","100.615","32","73","0"
"201","2025-04-03 23:02:33","13.8212","100.615","31","78","0"
"202","2025-04-03 23:32:34","13.8212","100.615","31","80","0"
"203","2025-04-04 00:02:34","13.8212","100.615","31","79","0"
"204","2025-04-04 00:32:34","13.8212","100.615","31","79","0"
"205","2025-04-04 01:02:35","13.8212","100.615","31","80","0"
"206","2025-04-04 01:32:35","13.8212","100.615","31","80","0"
"207","2025-04-04 02:02:35","13.8212","100.615","31","80","0"
"208","2025-04-06 19:36:29","13.8212","100.615","31","79","0"
"209","2025-04-06 20:06:29","13.8212","100.615","32","68","0"
"210","2025-04-06 20:36:29","13.8212","100.615","32","70","0"
"211","2025-04-06 21:06:30","13.8212","100.615","32","71","0"
"212","2025-04-06 21:36:30","13.8212","100.615","31","74","0"
"213","2025-04-06 22:06:30","13.8212","100.615","31","75","0"
"214","2025-04-06 22:36:30","13.8212","100.615","31","74","0"
"215","2025-04-06 23:06:31","13.8212","100.615","31","76","0"
"216","2025-04-06 23:36:31","13.8212","100.615","31","77","0"
"217","2025-04-07 00:06:31","13.8212","100.615","31","77","0"
"218","2025-04-07 00:36:32","13.8212","100.615","31","78","0"
"219","2025-04-07 01:06:32","13.8212","100.615","31","79","0"
"220","2025-04-07 01:36:32","13.8212","100.615","31","80","0"
"221","2025-04-07 02:06:33","13.8212","100.615","31","81","0"
"222","2025-04-07 02:36:33","13.8212","100.615","30","80","0"
"223","2025-04-07 03:06:33","13.8212","100.615","30","80","0"
"224","2025-04-07 03:36:34","13.8212","100.615","30","80","0"
"225","2025-04-07 04:06:34","13.8212","100.615","30","80","0"
"226","2025-04-07 04:36:34","13.8212","100.615","30","81","0"
"227","2025-04-07 05:06:35","13.8212","100.615","30","81","0"
"228","2025-04-07 05:36:35","13.8212","100.615","30","81","0"
"229","2025-04-07 06:06:35","13.8212","100.615","30","80","0"
"230","2025-04-07 06:36:35","13.8212","100.615","30","80","0"
"231","2025-04-07 07:06:36","13.8212","100.615","30","81","0"
"232","2025-04-07 07:36:36","13.8212","100.615","30","80","0"
"233","2025-04-07 08:06:37","13.8212","100.615","30","82","0"
"234","2025-04-07 08:36:37","13.8212","100.615","30","83","0"
"235","2025-04-07 09:06:37","13.8212","100.615","30","83","0"
"236","2025-04-07 09:36:38","13.8212","100.615","30","84","0"
"237","2025-04-07 10:06:38","13.8212","100.615","30","84","0"
"238","2025-04-07 10:36:38","13.8212","100.615","29","84","0"
"239","2025-04-07 11:06:39","13.8212","100.615","29","91","0"
"240","2025-04-07 11:36:39","13.8212","100.615","29","91","0"
"241","2025-04-07 12:06:39","13.8212","100.615","29","88","0"
"242","2025-04-07 12:36:39","13.8212","100.615","30","86","0"
"243","2025-04-07 13:06:40","13.8212","100.615","32","78","0"
"244","2025-04-07 18:40:40","13.8212","100.615","32","75","0"
"245","2025-04-07 19:10:41","13.8212","100.615","32","74","0"
"246","2025-04-07 19:40:41","13.8212","100.615","31","77","0"
"247","2025-04-07 20:10:41","13.8212","100.615","31","79","0"
"248","2025-04-07 20:40:42","13.8212","100.615","31","78","0"
"249","2025-04-07 21:10:42","13.8212","100.615","31","79","0"
"250","2025-04-07 21:40:42","13.8212","100.615","31","80","0"
"251","2025-04-07 22:10:42","13.8212","100.615","31","81","0"
"252","2025-04-07 22:40:43","13.8212","100.615","31","82","0"
"253","2025-04-07 23:10:43","13.8212","100.615","31","82","0"
"254","2025-04-07 23:40:43","13.8212","100.615","31","83","0"
"255","2025-04-08 00:10:44","13.8212","100.615","30","83","0"
"256","2025-04-08 00:40:44","13.8212","100.615","30","82","0"
"257","2025-04-08 01:10:44","13.8212","100.615","30","83","0"
"258","2025-04-08 01:40:45","13.8212","100.615","30","82","0"
"259","2025-04-08 02:10:45","13.8212","100.615","30","83","0"
"260","2025-04-08 02:40:45","13.8212","100.615","30","84","0"
"261","2025-04-08 03:10:46","13.8212","100.615","30","85","0"
"262","2025-04-08 03:40:46","13.8212","100.615","30","85","0"
"263","2025-04-08 04:10:46","13.8212","100.615","29","87","0"
"264","2025-04-08 04:40:46","13.8212","100.615","29","86","0"
"265","2025-04-08 05:10:47","13.8212","100.615","29","86","0"
"266","2025-04-08 05:40:47","13.8212","100.615","29","87","0"
"267","2025-04-08 06:10:47","13.8212","100.615","29","87","0"
"268","2025-04-08 06:40:48","13.8212","100.615","29","87","0"
"269","2025-04-08 07:10:48","13.8212","100.615","29","87","0"
"270","2025-04-08 07:40:49","13.8212","100.615","29","87","0"
"271","2025-04-08 08:10:49","13.8212","100.615","29","86","0"
"272","2025-04-08 08:40:49","13.8212","100.615","30","85","0"
"273","2025-04-08 09:10:49","13.8212","100.615","30","84","0"
"274","2025-04-08 09:40:50","13.8212","100.615","31","81","0"
"275","2025-04-08 10:10:50","13.8212","100.615","32","77","0"
"276","2025-04-08 10:40:50","13.8212","100.615","32","75","0"
"277","2025-04-08 11:10:51","13.8212","100.615","32","75","0"
"278","2025-04-08 11:40:51","13.8212","100.615","33","70","0"
"279","2025-04-08 12:10:51","13.8212","100.615","33","66","0"
"280","2025-04-08 12:40:52","13.8212","100.615","33","67","0"
"281","2025-04-08 13:10:52","13.8212","100.615","33","65","0"
"282","2025-04-08 13:40:52","13.8212","100.615","34","61","0"
"283","2025-04-08 14:10:53","13.8212","100.615","36","56","0"
"284","2025-04-08 14:40:53","13.8212","100.615","36","59","0"
"285","2025-04-08 15:10:53","13.8212","100.615","36","58","0"
"286","2025-04-08 18:39:19","13.8212","100.615","31","79","0"
"287","2025-04-08 19:09:19","13.8212","100.615","31","79","0"
"288","2025-04-08 19:39:19","13.8212","100.615","31","80","0"
"289","2025-04-08 20:09:20","13.8212","100.615","31","80","0"
"290","2025-04-08 20:39:20","13.8212","100.615","31","79","0"
"291","2025-04-08 21:09:20","13.8212","100.615","31","79","0"
"292","2025-04-08 21:39:21","13.8212","100.615","31","79","0"
"293","2025-04-08 22:09:21","13.8212","100.615","31","80","0"
"294","2025-04-08 22:39:21","13.8212","100.615","31","81","0"
"295","2025-04-08 23:09:22","13.8212","100.615","31","81","0"
"296","2025-04-08 23:39:22","13.8212","100.615","31","81","0"
"297","2025-04-09 00:09:22","13.8212","100.615","31","82","0"
"298","2025-04-09 00:39:23","13.8212","100.615","31","82","0"
"299","2025-04-09 01:09:23","13.8212","100.615","31","83","0"
"300","2025-04-09 01:39:24","13.8212","100.615","31","84","0"
"301","2025-04-09 02:09:24","13.8212","100.615","30","83","0"
"302","2025-04-09 02:39:24","13.8212","100.615","30","83","0"
"303","2025-04-09 03:09:25","13.8212","100.615","30","84","0"
"304","2025-04-09 03:39:25","13.8212","100.615","30","84","0"
"305","2025-04-09 04:09:25","13.8212","100.615","30","84","0"
"306","2025-04-09 04:39:26","13.8212","100.615","30","85","0"
"307","2025-04-09 05:09:26","13.8212","100.615","30","85","0"
"308","2025-04-09 05:39:26","13.8212","100.615","30","85","0"
"309","2025-04-09 06:09:27","13.8212","100.615","30","85","0"
"310","2025-04-09 06:39:27","13.8212","100.615","30","85","0"
"311","2025-04-09 07:09:27","13.8212","100.615","30","86","0"
"312","2025-04-09 07:39:29","13.8212","100.615","30","85","0"
"313","2025-04-09 08:09:29","13.8212","100.615","30","85","0"
"314","2025-04-09 08:39:29","13.8212","100.615","31","83","0"
"315","2025-04-09 09:09:29","13.8212","100.615","31","81","0"
"316","2025-04-09 09:39:30","13.8212","100.615","32","76","0"
"317","2025-04-09 10:09:30","13.8212","100.615","32","74","0"
"318","2025-04-09 10:39:30","13.8212","100.615","33","72","0"
"319","2025-04-09 11:09:31","13.8212","100.615","33","70","0"
"320","2025-04-09 11:39:31","13.8212","100.615","33","68","0"
"321","2025-04-09 12:09:31","13.8212","100.615","34","64","0"
"322","2025-04-09 12:39:32","13.8212","100.615","35","61","0"
"323","2025-04-09 13:09:32","13.8212","100.615","35","60","0"
"324","2025-04-09 13:39:32","13.8212","100.615","35","62","0"
"325","2025-04-09 14:09:33","13.8212","100.615","35","61","0"
"326","2025-04-09 14:39:33","13.8212","100.615","36","60","0"
"327","2025-04-09 15:09:33","13.8212","100.615","36","60","0"
"328","2025-04-09 15:39:34","13.8212","100.615","35","59","0"
"329","2025-04-09 16:09:34","13.8212","100.615","35","60","0"
"330","2025-04-09 16:39:34","13.8212","100.615","34","64","0"
"331","2025-04-09 17:09:35","13.8212","100.615","34","65","0"
"332","2025-04-09 17:39:35","13.8212","100.615","34","63","0"
"333","2025-04-09 18:09:35","13.8212","100.615","34","62","0"
"334","2025-04-09 18:39:36","13.8212","100.615","33","63","0"
"335","2025-04-09 19:09:36","13.8212","100.615","33","66","0"
"336","2025-04-09 19:39:36","13.8212","100.615","33","68","0"
"337","2025-04-09 20:09:37","13.8212","100.615","33","69","0"
"338","2025-04-10 16:47:40","13.8212","100.615","32","69","0"
